bars,symbol,next_page_token
"{'t': '2017-01-03T09:14:00Z', 'o': 224.81, 'h': 224.81, 'l': 224.81, 'c': 224.81, 'v': 100, 'n': 1, 'vw': 224.81}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:15:00Z', 'o': 224.78, 'h': 224.78, 'l': 224.78, 'c': 224.78, 'v': 2000, 'n': 2, 'vw': 224.78075}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:16:00Z', 'o': 224.83, 'h': 224.83, 'l': 224.83, 'c': 224.83, 'v': 200, 'n': 1, 'vw': 224.83}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:17:00Z', 'o': 224.83, 'h': 224.84, 'l': 224.83, 'c': 224.84, 'v': 3000, 'n': 3, 'vw': 224.836667}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:23:00Z', 'o': 224.82, 'h': 224.82, 'l': 224.78, 'c': 224.78, 'v': 1800, 'n': 4, 'vw': 224.785556}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:24:00Z', 'o': 224.78, 'h': 224.78, 'l': 224.78, 'c': 224.78, 'v': 700, 'n': 2, 'vw': 224.78}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:30:00Z', 'o': 224.72, 'h': 224.76, 'l': 224.72, 'c': 224.76, 'v': 600, 'n': 2, 'vw': 224.74}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:31:00Z', 'o': 224.76, 'h': 224.76, 'l': 224.76, 'c': 224.76, 'v': 400, 'n': 1, 'vw': 224.76}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:32:00Z', 'o': 224.76, 'h': 224.76, 'l': 224.76, 'c': 224.76, 'v': 667, 'n': 4, 'vw': 224.759745}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:34:00Z', 'o': 224.74, 'h': 224.74, 'l': 224.7, 'c': 224.7, 'v': 1300, 'n': 2, 'vw': 224.730769}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:35:00Z', 'o': 224.74, 'h': 224.74, 'l': 224.74, 'c': 224.74, 'v': 400, 'n': 1, 'vw': 224.74}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:36:00Z', 'o': 224.71, 'h': 224.71, 'l': 224.71, 'c': 224.71, 'v': 200, 'n': 1, 'vw': 224.71}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:41:00Z', 'o': 224.86, 'h': 224.86, 'l': 224.86, 'c': 224.86, 'v': 700, 'n': 4, 'vw': 224.855714}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:44:00Z', 'o': 224.87, 'h': 224.87, 'l': 224.87, 'c': 224.87, 'v': 400, 'n': 1, 'vw': 224.87}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:46:00Z', 'o': 224.85, 'h': 224.85, 'l': 224.85, 'c': 224.85, 'v': 100, 'n': 1, 'vw': 224.85}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:47:00Z', 'o': 224.84, 'h': 224.84, 'l': 224.84, 'c': 224.84, 'v': 300, 'n': 1, 'vw': 224.84}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:48:00Z', 'o': 224.8, 'h': 224.8, 'l': 224.8, 'c': 224.8, 'v': 150, 'n': 1, 'vw': 224.8}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:49:00Z', 'o': 224.84, 'h': 224.84, 'l': 224.84, 'c': 224.84, 'v': 1300, 'n': 3, 'vw': 224.84}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:54:00Z', 'o': 224.86, 'h': 224.86, 'l': 224.86, 'c': 224.86, 'v': 300, 'n': 1, 'vw': 224.86}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:56:00Z', 'o': 224.86, 'h': 224.86, 'l': 224.86, 'c': 224.86, 'v': 400, 'n': 1, 'vw': 224.86}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:59:00Z', 'o': 224.86, 'h': 224.86, 'l': 224.86, 'c': 224.86, 'v': 1400, 'n': 2, 'vw': 224.86}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:00:00Z', 'o': 224.87, 'h': 224.93, 'l': 224.87, 'c': 224.93, 'v': 2396, 'n': 11, 'vw': 224.898255}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:01:00Z', 'o': 224.96, 'h': 224.96, 'l': 224.96, 'c': 224.96, 'v': 200, 'n': 1, 'vw': 224.96}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:04:00Z', 'o': 224.96, 'h': 224.96, 'l': 224.96, 'c': 224.96, 'v': 400, 'n': 1, 'vw': 224.96}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:06:00Z', 'o': 224.95, 'h': 224.95, 'l': 224.95, 'c': 224.95, 'v': 1000, 'n': 3, 'vw': 224.95}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:07:00Z', 'o': 224.95, 'h': 224.95, 'l': 224.95, 'c': 224.95, 'v': 200, 'n': 1, 'vw': 224.95}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:09:00Z', 'o': 224.96, 'h': 224.96, 'l': 224.96, 'c': 224.96, 'v': 300, 'n': 1, 'vw': 224.96}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:13:00Z', 'o': 224.94, 'h': 224.94, 'l': 224.94, 'c': 224.94, 'v': 500, 'n': 1, 'vw': 224.94}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:14:00Z', 'o': 224.93, 'h': 224.96, 'l': 224.93, 'c': 224.96, 'v': 2188, 'n': 4, 'vw': 224.951938}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:17:00Z', 'o': 224.96, 'h': 224.97, 'l': 224.96, 'c': 224.97, 'v': 980, 'n': 3, 'vw': 224.964082}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:19:00Z', 'o': 224.9, 'h': 224.9, 'l': 224.9, 'c': 224.9, 'v': 500, 'n': 1, 'vw': 224.9}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:24:00Z', 'o': 224.86, 'h': 224.86, 'l': 224.85, 'c': 224.85, 'v': 3100, 'n': 3, 'vw': 224.850323}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:25:00Z', 'o': 224.85, 'h': 224.85, 'l': 224.84, 'c': 224.84, 'v': 30500, 'n': 12, 'vw': 224.841934}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:29:00Z', 'o': 224.89, 'h': 224.89, 'l': 224.89, 'c': 224.89, 'v': 400, 'n': 1, 'vw': 224.89}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:30:00Z', 'o': 224.85, 'h': 224.85, 'l': 224.84, 'c': 224.84, 'v': 22222, 'n': 5, 'vw': 224.84045}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:31:00Z', 'o': 224.88, 'h': 224.88, 'l': 224.88, 'c': 224.88, 'v': 800, 'n': 1, 'vw': 224.88}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:32:00Z', 'o': 224.88, 'h': 224.88, 'l': 224.88, 'c': 224.88, 'v': 400, 'n': 2, 'vw': 224.88}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:36:00Z', 'o': 224.88, 'h': 224.88, 'l': 224.88, 'c': 224.88, 'v': 400, 'n': 1, 'vw': 224.88}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:43:00Z', 'o': 224.9, 'h': 224.9, 'l': 224.9, 'c': 224.9, 'v': 200, 'n': 1, 'vw': 224.9}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:44:00Z', 'o': 224.91, 'h': 224.91, 'l': 224.91, 'c': 224.91, 'v': 300, 'n': 1, 'vw': 224.91}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:45:00Z', 'o': 224.91, 'h': 224.91, 'l': 224.91, 'c': 224.91, 'v': 900, 'n': 2, 'vw': 224.91}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:46:00Z', 'o': 224.91, 'h': 224.91, 'l': 224.91, 'c': 224.91, 'v': 400, 'n': 1, 'vw': 224.91}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:52:00Z', 'o': 224.91, 'h': 224.91, 'l': 224.91, 'c': 224.91, 'v': 400, 'n': 1, 'vw': 224.91}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T10:56:00Z', 'o': 224.93, 'h': 224.93, 'l': 224.93, 'c': 224.93, 'v': 300, 'n': 1, 'vw': 224.93}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:01:00Z', 'o': 224.96, 'h': 224.96, 'l': 224.96, 'c': 224.96, 'v': 400, 'n': 1, 'vw': 224.96}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:03:00Z', 'o': 224.94, 'h': 224.94, 'l': 224.94, 'c': 224.94, 'v': 220, 'n': 3, 'vw': 224.941364}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:04:00Z', 'o': 224.96, 'h': 224.96, 'l': 224.96, 'c': 224.96, 'v': 390, 'n': 2, 'vw': 224.96}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:05:00Z', 'o': 224.97, 'h': 225, 'l': 224.97, 'c': 225, 'v': 818, 'n': 4, 'vw': 224.978264}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:06:00Z', 'o': 224.99, 'h': 225, 'l': 224.99, 'c': 225, 'v': 435, 'n': 4, 'vw': 224.994598}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:07:00Z', 'o': 224.99, 'h': 225, 'l': 224.99, 'c': 225, 'v': 1166, 'n': 10, 'vw': 224.994254}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:09:00Z', 'o': 224.98, 'h': 225.01, 'l': 224.98, 'c': 225.01, 'v': 1169, 'n': 6, 'vw': 224.997485}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:12:00Z', 'o': 225.02, 'h': 225.02, 'l': 225.02, 'c': 225.02, 'v': 420, 'n': 2, 'vw': 225.019524}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:13:00Z', 'o': 225.03, 'h': 225.03, 'l': 225.03, 'c': 225.03, 'v': 100, 'n': 1, 'vw': 225.03}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:14:00Z', 'o': 225.12, 'h': 225.12, 'l': 225.12, 'c': 225.12, 'v': 460, 'n': 3, 'vw': 225.115217}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:15:00Z', 'o': 225.12, 'h': 225.13, 'l': 225.09, 'c': 225.09, 'v': 3000, 'n': 6, 'vw': 225.108}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:16:00Z', 'o': 225.14, 'h': 225.23, 'l': 225.14, 'c': 225.21, 'v': 1057, 'n': 9, 'vw': 225.176216}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:17:00Z', 'o': 225.18, 'h': 225.18, 'l': 225.18, 'c': 225.18, 'v': 100, 'n': 1, 'vw': 225.18}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:21:00Z', 'o': 225.11, 'h': 225.11, 'l': 225.1, 'c': 225.1, 'v': 3000, 'n': 4, 'vw': 225.103333}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:22:00Z', 'o': 225.1, 'h': 225.1, 'l': 225.1, 'c': 225.1, 'v': 3000, 'n': 3, 'vw': 225.1}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:23:00Z', 'o': 225.1, 'h': 225.1, 'l': 225.1, 'c': 225.1, 'v': 4300, 'n': 6, 'vw': 225.1}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:24:00Z', 'o': 225.1, 'h': 225.16, 'l': 225.1, 'c': 225.16, 'v': 5722, 'n': 8, 'vw': 225.109843}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:25:00Z', 'o': 225.16, 'h': 225.17, 'l': 225.16, 'c': 225.17, 'v': 2500, 'n': 4, 'vw': 225.1668}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:26:00Z', 'o': 225.18, 'h': 225.18, 'l': 225.18, 'c': 225.18, 'v': 600, 'n': 7, 'vw': 225.184167}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:27:00Z', 'o': 225.22, 'h': 225.23, 'l': 225.22, 'c': 225.23, 'v': 11400, 'n': 8, 'vw': 225.221667}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:28:00Z', 'o': 225.23, 'h': 225.24, 'l': 225.23, 'c': 225.24, 'v': 600, 'n': 2, 'vw': 225.238333}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:29:00Z', 'o': 225.23, 'h': 225.23, 'l': 225.22, 'c': 225.23, 'v': 2000, 'n': 3, 'vw': 225.221}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:30:00Z', 'o': 225.22, 'h': 225.22, 'l': 225.22, 'c': 225.22, 'v': 1200, 'n': 2, 'vw': 225.22}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:32:00Z', 'o': 225.22, 'h': 225.22, 'l': 225.22, 'c': 225.22, 'v': 8800, 'n': 7, 'vw': 225.22}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:33:00Z', 'o': 225.22, 'h': 225.23, 'l': 225.21, 'c': 225.21, 'v': 10200, 'n': 7, 'vw': 225.224118}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:39:00Z', 'o': 225.25, 'h': 225.25, 'l': 225.25, 'c': 225.25, 'v': 360, 'n': 4, 'vw': 225.249444}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:40:00Z', 'o': 225.26, 'h': 225.26, 'l': 225.26, 'c': 225.26, 'v': 1000, 'n': 1, 'vw': 225.26}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:43:00Z', 'o': 225.28, 'h': 225.28, 'l': 225.28, 'c': 225.28, 'v': 300, 'n': 1, 'vw': 225.28}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:44:00Z', 'o': 225.3, 'h': 225.3, 'l': 225.3, 'c': 225.3, 'v': 2100, 'n': 6, 'vw': 225.3}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:45:00Z', 'o': 225.3, 'h': 225.3, 'l': 225.3, 'c': 225.3, 'v': 1000, 'n': 2, 'vw': 225.3}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:47:00Z', 'o': 225.34, 'h': 225.34, 'l': 225.34, 'c': 225.34, 'v': 1000, 'n': 3, 'vw': 225.34}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:50:00Z', 'o': 225.34, 'h': 225.34, 'l': 225.34, 'c': 225.34, 'v': 300, 'n': 3, 'vw': 225.34}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:52:00Z', 'o': 225.32, 'h': 225.32, 'l': 225.28, 'c': 225.28, 'v': 600, 'n': 2, 'vw': 225.3}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:55:00Z', 'o': 225.32, 'h': 225.32, 'l': 225.3, 'c': 225.3, 'v': 600, 'n': 2, 'vw': 225.316667}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:56:00Z', 'o': 225.29, 'h': 225.29, 'l': 225.29, 'c': 225.29, 'v': 400, 'n': 3, 'vw': 225.28255}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:57:00Z', 'o': 225.26, 'h': 225.26, 'l': 225.26, 'c': 225.26, 'v': 400, 'n': 6, 'vw': 225.26}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T11:58:00Z', 'o': 225.26, 'h': 225.26, 'l': 225.26, 'c': 225.26, 'v': 800, 'n': 3, 'vw': 225.26}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T12:00:00Z', 'o': 225.23, 'h': 225.26, 'l': 225.22, 'c': 225.22, 'v': 10500, 'n': 19, 'vw': 225.24981}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T12:01:00Z', 'o': 225.22, 'h': 225.3, 'l': 225.22, 'c': 225.3, 'v': 3164, 'n': 10, 'vw': 225.240436}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T12:02:00Z', 'o': 225.3, 'h': 225.35, 'l': 225.3, 'c': 225.3, 'v': 34115, 'n': 41, 'vw': 225.306281}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T12:03:00Z', 'o': 225.3, 'h': 225.38, 'l': 225.3, 'c': 225.33, 'v': 22705, 'n': 43, 'vw': 225.319143}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T12:04:00Z', 'o': 225.33, 'h': 225.37, 'l': 225.32, 'c': 225.33, 'v': 14446, 'n': 17, 'vw': 225.327615}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T12:05:00Z', 'o': 225.32, 'h': 225.33, 'l': 225.3, 'c': 225.33, 'v': 13800, 'n': 15, 'vw': 225.328625}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T12:07:00Z', 'o': 225.33, 'h': 225.33, 'l': 225.31, 'c': 225.31, 'v': 500, 'n': 2, 'vw': 225.318}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T12:09:00Z', 'o': 225.29, 'h': 225.29, 'l': 225.29, 'c': 225.29, 'v': 200, 'n': 1, 'vw': 225.29}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T12:10:00Z', 'o': 225.29, 'h': 225.32, 'l': 225.27, 'c': 225.27, 'v': 22600, 'n': 26, 'vw': 225.274427}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T12:11:00Z', 'o': 225.27, 'h': 225.29, 'l': 225.27, 'c': 225.29, 'v': 450, 'n': 5, 'vw': 225.278889}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T12:12:00Z', 'o': 225.25, 'h': 225.25, 'l': 225.25, 'c': 225.25, 'v': 200, 'n': 6, 'vw': 225.25015}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T12:13:00Z', 'o': 225.25, 'h': 225.26, 'l': 225.25, 'c': 225.26, 'v': 3317, 'n': 7, 'vw': 225.252412}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T12:14:00Z', 'o': 225.27, 'h': 225.27, 'l': 225.26, 'c': 225.27, 'v': 46847, 'n': 15, 'vw': 225.260481}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
